 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
#1 に該当	gloda.message.attr.involves.mustMatchLabel	self	must involve #1	phrase, no reading now	no comment	該 [がい] (pref) said/matter in question/<br>	firefox phrase	8408
#1 を除外	gloda.message.attr.involves.cantMatchLabel	self	can't involve #1	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	8410
#1 アカウントに該当	gloda.message.attr.account.mustMatchLabel	self	must be in #1	phrase, no reading now	no comment	該 [がい] (pref) said/matter in question/<br>	firefox phrase	8380
#1 アカウントを除外	gloda.message.attr.account.cantMatchLabel	self	can't be in #1	phrase, no reading now	no comment	アカウント [アカウント] (n) account/<br>	firefox phrase	8383
#1 タグに該当	gloda.message.attr.tag.mustMatchLabel	self	must be tagged #1	phrase, no reading now	no comment	該 [がい] (pref) said/matter in question/<br>	firefox phrase	8432
#1 タグを除外	gloda.message.attr.tag.cantMatchLabel	self	can't be tagged #1	phrase, no reading now	no comment	タグ [タグ] (n) tag/<br>	firefox phrase	8435
#1 ファイル - ダウンロード	downloadsTitleFiles	self	#1 file - Downloads;#1 files - Downloads	phrase, no reading now	no comment	ロー [ロー] (n) (1) law/(2) low/(3) row/(4) raw (device, file, etc.)/(P)/<br>	firefox phrase	15325
#1 フォルダに該当	gloda.message.attr.folder.mustMatchLabel	self	must be in #1	phrase, no reading now	no comment	該 [がい] (pref) said/matter in question/<br>	firefox phrase	8388
#1 フォルダの名前を #2 に変更しました	renamedFolder	self	Renamed folder #1 to #2	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6691
#1 フォルダの索引を付けるメッセージを調べています	indexingFolderStatusVague	self	Determining which messages to index in #1	phrase, no reading now	no comment	てい [てい] (n) Di (ancient Chinese ethnic group)/<br>	firefox phrase	6714
#1 フォルダの索引を作成します	indexingFolder	self	Indexing messages in #1	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6701
#1 フォルダを #2 フォルダ内へコピーしました	copiedFolder	self	Copied folder #1 into folder #2	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6686
#1 フォルダを #2 フォルダ内へ移動しました	movedFolder	self	Moved folder #1 into folder #2	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6680
#1 フォルダを削除しました	deletedFolder	self	Deleted folder #1	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6674
#1 フォルダを除外	gloda.message.attr.folder.cantMatchLabel	self	can't be in #1	phrase, no reading now	no comment	フォルダ [フォルダ] (n) folder/<br>	firefox phrase	8391
#1 リ	doneScheme, comp not found	#1 リソース	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	15258
#1 リソース	doneScheme	self	#1 resource	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	15259
#1 個の添付キーワードが見つかりました:	attachmentReminderKeywordsMsgs	self	Found an attachment keyword:;Found #1 attachment keywords:	phrase, no reading now	no comment	真下 [ました] (n,adj-no) right under/directly below/<br>	firefox phrase	12454
#1 通	glodaFacetView.results.header.countLabel.NMessages	self	#1;#1	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	8542
#1 通のメッセージを #2 から #3 へコピーしました	copiedMessages	self	Copied #1 message from #2 to #3;Copied #1 messages from #2 to #3	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6668
#1 通のメッセージを #2 から #3 へ移動しました	movedMessages	self	Moved #1 message from #2 to #3;Moved #1 messages from #2 to #3	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6662
#1#2日	monthDate	self	#1 #2	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	6575
#2 から #1 通のメッセージを削除しました	deletedMessages2	self	Deleted #1 message from #2;Deleted #1 messages from #2	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6656
#2 フォルダの #1 通のメッセージに索引を付けました	indexedFolder	self	Indexed #1 message in #2;Indexed #1 messages in #2	phrase, no reading now	no comment	まし [まし] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	6734
#2% / #1 ファイル - ダウンロード	downloadsTitlePercent	self	#2% of #1 file - Downloads;#2% of #1 files - Downloads	phrase, no reading now	no comment	ロー [ロー] (n) (1) law/(2) low/(3) row/(4) raw (device, file, etc.)/(P)/<br>	firefox phrase	15329
#4 フォルダの索引を作成しています #1 / #2 (#3% 完了)	indexingFolderStatusExact	self	Indexing #1 of #2 message in #4;Indexing #1 of #2 messages in #4 (#3% complete)	phrase, no reading now	no comment	完了 [かんりょう] (n,vs,adj-no) (1) completion/conclusion/(n) (2) (ling) perfective (form, aspect)/(P)/<br>	firefox phrase	6727
% (ウィンドウに対して)	PercentOfWindow	self	% of window	phrase, no reading now	no comment	に対して [にたいして] (exp) towards/against/regarding/in contrast with/<br>	firefox phrase	529
% (セルに対して)	PercentOfCell	self	% of cell	phrase, no reading now	no comment	に対して [にたいして] (exp) towards/against/regarding/in contrast with/<br>	firefox phrase	526
% (表に対して)	PercentOfTable	self	% of table	phrase, no reading now	no comment	に対して [にたいして] (exp) towards/against/regarding/in contrast with/<br>	firefox phrase	532
%1$0.Sインストールされているアドオンの %2$S 個に更新があります	multipleUpdateNotificationText	self	%S has found updates for %S of your add-ons	phrase, no reading now	no comment	蟻 [あり] (n) ant/(P)/<br>在り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>有り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>	firefox phrase	15568
%1$0.S不審なサイトを開こうとしています。このサイトは別のサイトになりすましている可能性があります。%2$S を開いてもよろしいですか？	confirmPhishingUrl	self	%1$S thinks this message is a scam. The links in the message may be trying to impersonate web pages you want to visit. Are you sure you want to visit %2$S?	phrase, no reading now	no comment	ですか [ですか] (exp) indicates question (sentence end)/<br>	firefox phrase	11088
%1$S %2$S を入力してください。(例: %1$S のメールアドレスが "%3$S" であれば %2$S は "%4$S" になります)	customizedEmailText	self	Enter your %1$S %2$S (for example, if your %1$S email address is "%3$S", your %2$S is "%4$S").	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	13644
%1$S からのメールでは常にリモートコンテンツを読み込む	alwaysLoadRemoteContentForSender2	self	Always load remote content from %1$S	phrase, no reading now	no comment	読み [よみ] (n) reading/(P)/<br>	firefox phrase	11160
%1$S からデータを転送しています...	6	self	Transferring data from %1$S…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	17352
%1$S があなたのメールアカウントの設定を検索しています。	looking_up_settings	self	%1$S is looking up the settings for your email account.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	6216
%1$S が使用している証明書は信頼できません。	selfsigned_warning	self	%1$S does not use a trusted certificate.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	6148
%1$S に %2$S 通の新着メッセージがあります	newBiffNotification_message	self	%1$S has %2$S new message	phrase, no reading now	no comment	蟻 [あり] (n) ant/(P)/<br>在り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>有り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>	firefox phrase	10944
%1$S にある連絡先の総数: %2$S 件	totalContactStatus	self	Total contacts in %1$S: %2$S	phrase, no reading now	no comment	総数 [そうすう] (n) total (number)/count/(P)/<br>	firefox phrase	6931
%1$S に接続しています...	7	self	Connecting to %1$S…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	17356
%1$S に接続しました...	4	self	Connected to %1$S…	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	17341
%1$S に要求を送信しています...	5	self	Sending request to %1$S…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	17346
%1$S の %2$S のパスワードを入力してください:	smtpEnterPasswordPromptWithUsername	self	Enter your password for %2$S on %1$S:	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	12483
%1$S のアドレス解決をしています...	3	self	Looking up %1$S…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	17337
%1$S のパスワードを入力してください。	authPromptText	self	Please enter your password for %1$S.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	17058
%1$S のユーザ名とパスワードを入力してください	EnterUserPasswordFor	self	Enter username and password for %1$S	phrase, no reading now	no comment	管 [くだ] (n,n-suf) pipe/tube/(P)/<br>	firefox phrase	4465
%1$S の一覧	DirTitle	self	Index of %1$S	phrase, no reading now	no comment	一 [いち] (num,pref) (1) one/(suf) (2) best in/the most (...) in (where an adjective follows)/(P)/<br>一 [ひと] (num,pref) (1) one/<br>一 [ひとつ] (io) (n) (1) one/(2) for one thing (often used in itemized lists)/(3) (after a noun) only/(4) (with a verb in negative form) (not) even/(n-adv) (5) just (i.e. "just try it")/<br>	firefox phrase	17401
%1$S の差出人情報	identity-list-title	self	Identities for %1$S	phrase, no reading now	no comment	情 [じょう] (n) feelings/emotion/passion/(P)/<br>	firefox phrase	13672
%1$S の応答を待っています...	10	self	Waiting for %1$S…	phrase, no reading now	no comment	居間 [いま] (n) living room (western style)/(P)/<br>今 [いま] (n-adv,n) now/the present time/just now/soon/immediately/(one) more/(P)/<br>	firefox phrase	17367
%1$S は user@host 形式になっておらず、有効なメールアドレスではありません。メールを送信する前に修正してください。	addressInvalid	self	%1$S is not a valid e-mail address because it is not of the form user@host. You must correct it before sending the e-mail.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	12337
%1$S はあなたのメールアカウントの設定を見つけました。	found_settings	self	%1$S has found the settings for your email account.	phrase, no reading now	no comment	真下 [ました] (n,adj-no) right under/directly below/<br>	firefox phrase	6228
%1$S はあなたのメールアカウントの設定を見つけられませんでした。	failed_to_find_settings	self	%1$S failed to find the settings for your email account.	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	6237
%1$S への接続は暗号化されません。	cleartext_warning	self	%1$S does not use encryption.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	6141
%1$S を使用 (%2$S 内に表示)	usePluginIn	self	Use %1$S (in %2$S)	phrase, no reading now	no comment	表示 [ひょうじ] (n,vs) indication/expression/display/presentation/(P)/<br>	firefox phrase	13282
%1$S を書き込みました	9	self	Wrote %1$S	phrase, no reading now	no comment	まし [まし] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	17362
%1$S を読み込みました	8	self	Read %1$S	phrase, no reading now	no comment	まし [まし] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	17359
%1$S を購読しますか？	5092	self	Would you like to subscribe to %1$S?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	8934
%1$S フォルダのメッセージをフィルタリングした後、受信トレイの整理中にエラーが発生しました。%2$S を終了して INBOX.msf を削除する必要があります。	filterFolderTruncateFailed	self	There was an error truncating the Inbox after filtering a message to folder '%1$S'. You may need to shutdown %2$S and delete INBOX.msf.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	10509
%1$S 件の連絡先をコピーしました	contactsCopied	self	%1$S contact copied;%1$S contacts copied	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6956
%1$S 件の連絡先を移動しました	contactsMoved	self	%1$S contact moved;%1$S contacts moved	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	6961
%1$S 属性のパース中に予期せぬ値 %2$S が見つかりました。	AttributeParseWarning	self	Unexpected value %2$S parsing %1$S attribute.	phrase, no reading now	no comment	真下 [ました] (n,adj-no) right under/directly below/<br>	firefox phrase	5296
%1$S 要素の XUL ボックスがインラインの子要素 %2$S を含んでいるため、すべての子はブロック中で折り返されます。	NeededToWrapXUL	self	XUL box for %1$S element contained an inline %2$S child, forcing all its children to be wrapped in a block.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	6005
%1$S 要素の XUL ボックスがインラインの子要素 %2$S を含んでいるため、すべての子はブロック中で折り返されます。このエラーは "display: -moz-inline-box" を "display: -moz-inline-box; display: inline-block" で置き換えると解決することが多いです。	NeededToWrapXULInlineBox	self	XUL box for %1$S element contained an inline %2$S child, forcing all its children to be wrapped in a block.  This can often be fixed by replacing "display: -moz-inline-box" with "display: -moz-inline-box; display: inline-block".	phrase, no reading now	no comment	です [です] (aux) (pol) polite copula in Japanese/(P)/<br>	firefox phrase	6030
%1$S 通の新着メッセージがあります	biffNotification_message	self	has %1$S new message	phrase, no reading now	no comment	蟻 [あり] (n) ant/(P)/<br>在り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>有り [あり] (n,adj-no) (uk) existence (at the present moment)/<br>	firefox phrase	10934
%1$S: プロトコルのリンクを処理するには外部のプログラムが必要です。\n\n\n次の URL の読み込みが要求されています。\n\n%2$S\n\nプログラム: %3$S\n\n\nこの URL の読み込みが意図していないものである場合、外部プログラムの脆弱性を利用しようとしている可能性があります。問題がないと確信できない限りこの要求はキャンセルしてください。\n	externalProtocolPrompt	self	An external application must be launched to handle %1$S: links.\n\n\nRequested link:\n\n%2$S\n\nApplication: %3$S\n\n\nIf you were not expecting this request it may be an attempt to exploit a weakness in that other program. Cancel this request unless you are sure it is not malicious.\n	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	1125
%1$Sを検索中にファイル終端に達してしまいました。	PEUnexpEOF2	self	Unexpected end of file while searching for %1$S.	phrase, no reading now	no comment	真下 [ました] (n,adj-no) right under/directly below/<br>	firefox phrase	1577
%1$s の %2$s ID	nick_template	self	%1$s's %2$s ID	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	17675
%2$S から テーマ "%1$S" をインストールしますか？	ConfirmSkin	self	Install the theme "%1$S" from %2$S?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	5587
%2$S から 言語 "%1$S" をインストールしますか？	ConfirmLocale	self	Install the locale "%1$S" from %2$S?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	5593
%2$S での %1$S のパスワードを入力してください	EnterPasswordFor	self	Enter password for %1$S on %2$S	phrase, no reading now	no comment	管 [くだ] (n,n-suf) pipe/tube/(P)/<br>	firefox phrase	4470
%2$S で使用するこのパスワードを %1$S に記憶させますか？	saveLoginTextNoUsername	self	Do you want %1$S to remember this password on %2$S?	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	17519
%2$S にはニュースグループ %1$S は存在しないようです。ニュースグループ %1$S の購読を解除しますか？	autoUnsubscribeText	self	The newsgroup %1$S does not appear to exist on the host %2$S.  Would you like to unsubscribe from it?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	12858
%2$S の "%1$S" に対するユーザ名とパスワードを入力してください	EnterLoginForRealm	self	A username and password are being requested by %2$S. The site says: "%1$S"	phrase, no reading now	no comment	管 [くだ] (n,n-suf) pipe/tube/(P)/<br>	firefox phrase	4449
%2$S の %1$S フォルダ	verboseFolderFormat	self	%1$S on %2$S	phrase, no reading now	no comment	this should be overwritten by components	firefox phrase	10489
%2$S のユーザ %1$S 用の新しいパスワードを入力してください:	pop3PreviouslyEnteredPasswordIsInvalidPrompt	self	Please enter a new password for user %1$S on %2$S:	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	9541
%2$S より %1$S 通、その他 %3$S 通の新着メッセージがあります。	macBiffNotification_messages_extra	self	%1$S new messages from %2$S and %3$S more.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	10972
%2$S より %1$S 通の新着メッセージがあります。	macBiffNotification_message	self	%1$S new message from %2$S.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	10956
%2$S アカウントの %1$S フォルダ中のメッセージを同期しています...	autosyncProgress	self	Synchronizing messages in %1$S from %2$S…	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	10624
%2$S イベントでは %1$S プロパティの値には意味がないため使用すべきではありません。	WrongEventPropertyAccessWarning	self	The '%S' property of a %S event should not be used. The value is meaningless.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	2631
%2$S サーバのユーザ %1$S のパスワードを入力してください:	pop3EnterPasswordPrompt	self	Enter your password for %1$S on %2$S:	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	9533
%2$S 上の %1$S のパスワードを入力してください:	passwordPrompt	self	Enter your password for %1$S on %2$S:	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	11017
%3$S で使用する "%2$S" のパスワードを %1$S に記憶させますか？	saveLoginText	self	Do you want %1$S to remember the password for "%2$S" on %3$S?	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	17512
%3$S にダウンロードしています (%1$S / %2$S)	autosyncProcessProgress	self	Downloading %1$S of %2$S in %3$S	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	6629
%3$S にメッセージをコピーしています %1$S / %2$S	5103	self	Copying Message %1$S of %2$S to %3$S	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	9023
%3$S のヘッダをダウンロードしています (%1$S / %2$S)	newNewsgroupHeaders	self	Downloading %1$S of %2$S headers for %3$S	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	12814
